pos,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,Fixation.started,Line_1.started,Line_2.started,Line_3.started,Line_4.started,Fixation.stopped,Probe.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials_2.key_resp.keys,trials_2.key_resp.corr,trials_2.key_resp.rt,trials_2.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
150,v,165,1,41,v,1,0.18544859997928143,None,41,1,165,1,,,,,373.1570208000485,,373.1441737001296,373.1570208000485,374.14322850015014,374.14322850015014,374.14322850015014,374.14322850015014,374.15684700012207,375.14286650018767,375.14286650018767,375.3379860999994,v,1,0.18544859997928143,None,,,,,04,001,2025-10-02_11h26.52.613,Motor Sequential Learning,,2025.1.1,72.94887807643727,2025-10-02 11h26.58.698852 +0530,
50,c,166,2,41,c,1,0.1423315000720322,None,41,2,166,2,,,,,375.3511915002018,,375.33834690018557,375.3511915002018,376.33738160016946,376.33738160016946,376.33738160016946,376.33738160016946,376.35145690012723,377.344177500112,377.344177500112,377.4926657001488,c,1,0.1423315000720322,None,,,,,04,001,2025-10-02_11h26.52.613,Motor Sequential Learning,,2025.1.1,72.94887807643727,2025-10-02 11h26.58.698852 +0530,
-150,z,167,3,41,z,1,0.25858820020221174,None,41,3,167,3,,,,,377.5039133001119,,377.4932687000837,377.5039133001119,378.4901659002062,378.4901659002062,378.4901659002062,378.4901659002062,378.5039894999936,379.49014970008284,379.49014970008284,379.76136910007335,z,1,0.25858820020221174,None,,,,,04,001,2025-10-02_11h26.52.613,Motor Sequential Learning,,2025.1.1,72.94887807643727,2025-10-02 11h26.58.698852 +0530,
-50,x,168,0,42,x,1,0.1814102998469025,None,42,0,168,0,,,,,379.77482960000634,,379.76190210017376,379.77482960000634,380.760035000043,380.760035000043,380.760035000043,380.760035000043,380.7686580000445,381.76734360004775,381.76734360004775,381.96286700014025,x,1,0.1814102998469025,None,,,,,04,001,2025-10-02_11h26.52.613,Motor Sequential Learning,,2025.1.1,72.94887807643727,2025-10-02 11h26.58.698852 +0530,
150,v,169,1,42,v,1,0.2667177999392152,None,42,1,169,1,,,,,381.9765834000427,,381.96336010005325,381.9765834000427,382.96238859998994,382.96238859998994,382.96238859998994,382.96238859998994,382.9764327001758,383.9628029000014,383.9628029000014,384.24102860013954,v,1,0.2667177999392152,None,,,,,04,001,2025-10-02_11h26.52.613,Motor Sequential Learning,,2025.1.1,72.94887807643727,2025-10-02 11h26.58.698852 +0530,
50,c,170,2,42,c,1,0.034911900060251355,None,42,2,170,2,,,,,384.2542775000911,,384.241520000156,384.2542775000911,385.24794999998994,385.24794999998994,385.24794999998994,385.24794999998994,385.2608037001919,386.23985010012984,386.23985010012984,386.2824912001379,c,1,0.034911900060251355,None,,,,,04,001,2025-10-02_11h26.52.613,Motor Sequential Learning,,2025.1.1,72.94887807643727,2025-10-02 11h26.58.698852 +0530,
-150,z,171,3,42,z,1,0.2034219999331981,None,42,3,171,3,,,,,386.29609269998036,,386.28296079998836,386.29609269998036,387.28902150015347,387.28902150015347,387.28902150015347,387.28902150015347,387.3027060001623,388.28872940014116,388.28872940014116,388.49297270015813,z,1,0.2034219999331981,None,,,,,04,001,2025-10-02_11h26.52.613,Motor Sequential Learning,,2025.1.1,72.94887807643727,2025-10-02 11h26.58.698852 +0530,
-50,x,172,0,43,x,1,0.26472889981232584,None,43,0,172,0,,,,,388.50414060009643,,388.49359030020423,388.50414060009643,389.4903400000185,389.4903400000185,389.4903400000185,389.4903400000185,389.49991270015016,390.4920465000905,390.4920465000905,390.7619286000263,x,1,0.26472889981232584,None,,,,,04,001,2025-10-02_11h26.52.613,Motor Sequential Learning,,2025.1.1,72.94887807643727,2025-10-02 11h26.58.698852 +0530,
150,v,173,1,43,v,1,0.07855309988372028,None,43,1,173,1,,,,,390.77470210008323,,390.76237660017796,390.77470210008323,391.7681925999932,391.7681925999932,391.7681925999932,391.7681925999932,391.7822495000437,392.7680081001017,392.7680081001017,392.85889700008556,v,1,0.07855309988372028,None,,,,,04,001,2025-10-02_11h26.52.613,Motor Sequential Learning,,2025.1.1,72.94887807643727,2025-10-02 11h26.58.698852 +0530,
50,c,174,2,43,c,1,0.20877300016582012,None,43,2,174,2,,,,,392.86676020012237,,392.8592305001803,392.86676020012237,393.8652786000166,393.8652786000166,393.8652786000166,393.8652786000166,393.8652786000166,394.86510830000043,394.86510830000043,395.08117730007507,c,1,0.20877300016582012,None,,,,,04,001,2025-10-02_11h26.52.613,Motor Sequential Learning,,2025.1.1,72.94887807643727,2025-10-02 11h26.58.698852 +0530,
