stairs.thisTrialN,stairs.stepSize,stairs.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stairs.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
22,2,1.0,38.11282559996471,,38.10866119991988,38.11282559996471,38.5991161998827,38.5991161998827,38.606081899954006,38.89056199998595,40.1777438998688,right,1.0,1,1,1.576696600066498,369261,001,2025-08-28_10h22.21.260,staircase,2024.2.4,143.84949890641897,2025-08-28 10h22.29.503682 +0530,
23,2,1.0,40.181906200014055,,40.17795929987915,40.181906200014055,40.668335099937394,40.668335099937394,40.67524280003272,40.95949580008164,43.54413719987497,right,1.0,1,1,2.8717572998721153,369261,001,2025-08-28_10h22.21.260,staircase,2024.2.4,143.84949890641897,2025-08-28 10h22.29.503682 +0530,
24,2,1.0,43.5496880998835,,43.544350099982694,43.5496880998835,44.03584929998033,44.03584929998033,44.04286610009149,44.32724200002849,45.398062699940056,right,1.0,1,1,1.3554865000769496,369261,001,2025-08-28_10h22.21.260,staircase,2024.2.4,143.84949890641897,2025-08-28 10h22.29.503682 +0530,
25,2,1.0,45.40341129992157,,45.398301099892706,45.40341129992157,45.88967949990183,45.88967949990183,45.89672280009836,46.18105780007318,46.91892209998332,left,-1.0,1,1,1.0262768000829965,369261,001,2025-08-28_10h22.21.260,staircase,2024.2.4,143.84949890641897,2025-08-28 10h22.29.503682 +0530,
26,2,1.0,46.9241549000144,,46.91919680009596,46.9241549000144,47.41032060002908,47.41032060002908,47.41732440004125,47.7016588000115,48.23204350005835,right,1.0,1,1,0.8189823001157492,369261,001,2025-08-28_10h22.21.260,staircase,2024.2.4,143.84949890641897,2025-08-28 10h22.29.503682 +0530,
27,2,1.0,48.236369899939746,,48.232320100069046,48.236369899939746,48.72258309996687,48.72258309996687,48.729603899875656,49.01397090009414,50.05701839993708,left,-1.0,1,1,1.3299759000074118,369261,001,2025-08-28_10h22.21.260,staircase,2024.2.4,143.84949890641897,2025-08-28 10h22.29.503682 +0530,
28,2,1.0,50.06249399995431,,50.05726830009371,50.06249399995431,50.54875149996951,50.54875149996951,50.55572220007889,50.84015819989145,51.74453349993564,right,1.0,1,1,1.190534699941054,369261,001,2025-08-28_10h22.21.260,staircase,2024.2.4,143.84949890641897,2025-08-28 10h22.29.503682 +0530,
29,2,1.0,51.74973460007459,,51.74481029994786,51.74973460007459,52.23607870005071,52.23607870005071,52.242719599977136,52.527536999899894,53.56385700008832,right,1.0,1,1,1.3212620001286268,369261,001,2025-08-28_10h22.21.260,staircase,2024.2.4,143.84949890641897,2025-08-28 10h22.29.503682 +0530,
30,2,1.0,53.56911799986847,,53.56412940006703,53.56911799986847,54.05528840003535,54.05528840003535,54.06225479999557,54.34670610004105,55.08366009988822,left,-1.0,1,1,1.023071999894455,369261,001,2025-08-28_10h22.21.260,staircase,2024.2.4,143.84949890641897,2025-08-28 10h22.29.503682 +0530,
31,2,1.0,55.08965300000273,,55.083822699962184,55.08965300000273,55.576006199931726,55.576006199931726,55.58277400000952,55.8673187000677,57.01428469992243,left,-1.0,1,1,1.434833199949935,369261,001,2025-08-28_10h22.21.260,staircase,2024.2.4,143.84949890641897,2025-08-28 10h22.29.503682 +0530,
32,2,1.0,57.01995339989662,,57.01446900004521,57.01995339989662,57.50616710004397,57.50616710004397,57.51312640006654,57.797689999919385,59.57690280000679,left,-1.0,1,1,2.0684144000988454,369261,001,2025-08-28_10h22.21.260,staircase,2024.2.4,143.84949890641897,2025-08-28 10h22.29.503682 +0530,
33,2,1.0,59.58205269998871,,59.57724309992045,59.58205269998871,60.06835429999046,60.06835429999046,60.07529589999467,60.35974969994277,61.61106189992279,left,-1.0,1,1,1.5396741998847574,369261,001,2025-08-28_10h22.21.260,staircase,2024.2.4,143.84949890641897,2025-08-28 10h22.29.503682 +0530,
34,2,1.0,61.61639479990117,,61.61128759989515,61.61639479990117,62.10276719997637,62.10276719997637,62.10969610000029,62.394104700069875,63.70827669999562,left,-1.0,1,1,1.5997024001553655,369261,001,2025-08-28_10h22.21.260,staircase,2024.2.4,143.84949890641897,2025-08-28 10h22.29.503682 +0530,
35,2,1.0,63.71341550000943,,63.70849650003947,63.71341550000943,64.19967269990593,64.19967269990593,64.2069226000458,64.49104120000266,66.61722139990889,left,-1.0,1,1,2.4112700999248773,369261,001,2025-08-28_10h22.21.260,staircase,2024.2.4,143.84949890641897,2025-08-28 10h22.29.503682 +0530,
36,2,1.0,66.62276659999043,,66.61746619991027,66.62276659999043,67.10910989996046,67.10910989996046,67.11603710008785,67.40033819992095,67.9779727999121,left,-1.0,1,1,0.8646277999505401,369261,001,2025-08-28_10h22.21.260,staircase,2024.2.4,143.84949890641897,2025-08-28 10h22.29.503682 +0530,
37,2,1.0,67.98358220001683,,67.97821020008996,67.98358220001683,68.46990099991672,68.46990099991672,68.47692089993507,68.76129340007901,69.40849269996397,right,1.0,1,1,0.935684299794957,369261,001,2025-08-28_10h22.21.260,staircase,2024.2.4,143.84949890641897,2025-08-28 10h22.29.503682 +0530,
38,2,1.0,69.41394830006175,,69.40870100003667,69.41394830006175,69.90027059987187,69.90027059987187,69.90719250007533,70.19169309991412,70.41553850006312,left,-1.0,1,1,0.5085006998851895,369261,001,2025-08-28_10h22.21.260,staircase,2024.2.4,143.84949890641897,2025-08-28 10h22.29.503682 +0530,
39,2,1.0,70.42079810006544,,70.41578899999149,70.42079810006544,70.9070148000028,70.9070148000028,70.91398469987325,71.19837150000967,71.48469409998506,right,1.0,1,1,0.5719151999801397,369261,001,2025-08-28_10h22.21.260,staircase,2024.2.4,143.84949890641897,2025-08-28 10h22.29.503682 +0530,
40,2,1.0,71.49001930002123,,71.4849340999499,71.49001930002123,71.9764034000691,71.9764034000691,71.98338059987873,72.26773459999822,72.53238099999726,left,-1.0,1,1,0.5485107998829335,369261,001,2025-08-28_10h22.21.260,staircase,2024.2.4,143.84949890641897,2025-08-28 10h22.29.503682 +0530,
41,2,1.0,72.5385360000655,,72.53254859987646,72.5385360000655,73.0248521999456,73.0248521999456,73.03184069995768,73.3161901999265,73.421643699985,right,1.0,1,1,0.39094790001399815,369261,001,2025-08-28_10h22.21.260,staircase,2024.2.4,143.84949890641897,2025-08-28 10h22.29.503682 +0530,
42,2,1.0,73.427363099996,,73.4218746998813,73.427363099996,73.91357810003683,73.91357810003683,73.92057810002007,74.20520119997673,74.31761060003191,left,-1.0,1,1,0.3999846000224352,369261,001,2025-08-28_10h22.21.260,staircase,2024.2.4,143.84949890641897,2025-08-28 10h22.29.503682 +0530,
43,2,1.0,74.3230417999439,,74.31783249997534,74.3230417999439,74.8092781000305,74.8092781000305,74.81620080000721,75.1006924000103,75.57415829994716,left,-1.0,1,1,0.7622368999291211,369261,001,2025-08-28_10h22.21.260,staircase,2024.2.4,143.84949890641897,2025-08-28 10h22.29.503682 +0530,
44,2,1.0,75.57971989992075,,75.57437069993466,75.57971989992075,76.06600069999695,76.06600069999695,76.07286689989269,76.35746339987963,76.60884610004723,right,1.0,1,1,0.537579899886623,369261,001,2025-08-28_10h22.21.260,staircase,2024.2.4,143.84949890641897,2025-08-28 10h22.29.503682 +0530,
